tipo	grupo	nombre	version	licencia	purl
library	-	pretty-format	29.7.0	MIT	pkg:npm/pretty-format@29.7.0
library	-	ansi-styles	5.2.0	MIT	pkg:npm/ansi-styles@5.2.0
library	-	prompts	2.4.2	MIT	pkg:npm/prompts@2.4.2
library	-	proxy-addr	2.0.7	MIT	pkg:npm/proxy-addr@2.0.7
library	-	pump	3.0.4	MIT	pkg:npm/pump@3.0.4
library	-	pure-rand	6.1.0	MIT	pkg:npm/pure-rand@6.1.0
library	-	qs	6.15.3	BSD-3-Clause	pkg:npm/qs@6.15.3
library	-	range-parser	1.2.1	MIT	pkg:npm/range-parser@1.2.1
library	-	raw-body	2.5.3	MIT	pkg:npm/raw-body@2.5.3
library	-	rc	1.2.8	(BSD-2-Clause OR MIT OR Apache-2.0)	pkg:npm/rc@1.2.8
library	-	strip-json-comments	2.0.1	MIT	pkg:npm/strip-json-comments@2.0.1
library	-	react-is	18.3.1	MIT	pkg:npm/react-is@18.3.1
library	-	readable-stream	3.6.2	MIT	pkg:npm/readable-stream@3.6.2
library	-	require-directory	2.1.1	MIT	pkg:npm/require-directory@2.1.1
library	-	resolve	1.22.12	MIT	pkg:npm/resolve@1.22.12
library	-	resolve-cwd	3.0.0	MIT	pkg:npm/resolve-cwd@3.0.0
library	-	resolve-from	5.0.0	MIT	pkg:npm/resolve-from@5.0.0
library	-	resolve.exports	2.0.3	MIT	pkg:npm/resolve.exports@2.0.3
library	-	safe-buffer	5.2.1	MIT	pkg:npm/safe-buffer@5.2.1
library	-	safer-buffer	2.1.2	MIT	pkg:npm/safer-buffer@2.1.2
library	-	semver	6.3.1	ISC	pkg:npm/semver@6.3.1
